Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Garrett Whitlock,5.15,,,1.33,9.04,1.63,1.63,0.237,0.043,0.288,,,71.2,22,10,5,5
Kevin Herget,5.18,,,1.32,4.81,2.22,1.48,0.124,0.057,0.268,,,24.1,14,0,1,2
Duane Underwood Jr.,5.18,,,1.44,5.18,4.07,1.11,0.14,0.11,0.273,,,24.1,20,0,1,0
Peyton Battenfield,5.19,,,1.33,7.01,3.12,1.82,0.185,0.082,0.256,,,34.2,7,6,0,5
Tyler Gilbert,5.19,,,1.5,9.87,2.6,1.04,0.264,0.069,0.313,,,17.1,11,0,0,2
Austin Voth,5.19,,,1.56,8.83,3.89,1.56,0.212,0.094,0.279,,,34.2,25,0,1,2
Patrick Corbin,5.2,,,1.48,6.2,2.85,1.65,0.157,0.072,0.293,,,180.0,32,32,10,15
Marco Gonzales,5.22,,,1.46,6.12,3.24,0.9,0.158,0.084,0.282,,,50.0,10,10,4,1
Andrés Machado,5.22,,,1.32,7.74,2.34,2.16,0.208,0.063,0.282,,,50.0,44,0,4,1
Seth Martinez,5.23,,,1.49,9.42,3.98,1.05,0.231,0.097,0.265,,,43.0,35,0,2,3
Cal Quantrill,5.24,,,1.46,5.24,3.16,0.99,0.131,0.079,0.279,,,99.2,19,19,4,7
Chad Green,5.25,,,1.33,12.0,3.0,0.75,0.308,0.077,0.25,,,12.0,12,0,3,0
Matthew Liberatore,5.25,,,1.48,6.71,3.65,0.73,0.167,0.091,0.274,,,61.2,22,11,3,6
Jeff Brigham,5.26,,,1.17,10.04,4.3,2.15,0.263,0.113,0.191,,,37.2,37,0,1,3
Jimmy Lambert,5.26,,,1.62,9.8,4.78,2.39,0.238,0.116,0.273,,,37.2,35,1,2,3
Carlos Hernández,5.27,,,1.33,9.9,3.99,1.29,0.257,0.103,0.233,,,70.0,67,4,1,10
Richard Bleier,5.28,,,1.37,4.7,1.47,1.47,0.121,0.038,0.306,,,30.2,27,0,1,0
José Urquidy,5.29,,,1.43,6.43,3.57,1.57,0.164,0.091,0.263,,,63.0,16,10,3,3
Allan Winans,5.29,,,1.39,9.46,2.23,1.39,0.241,0.057,0.287,,,32.1,6,6,1,2
Jesse Scholtens,5.29,,,1.53,6.14,3.18,1.59,0.154,0.08,0.292,,,85.0,26,11,1,9
Cody Bradford,5.3,,,1.21,8.2,1.93,1.77,0.218,0.051,0.259,,,56.0,20,8,4,3
José Cisnero,5.31,,,1.48,10.62,3.79,1.52,0.262,0.094,0.27,,,59.1,63,0,3,4
Ryne Nelson,5.31,,,1.42,6.0,2.88,1.5,0.155,0.074,0.284,,,144.0,29,27,8,8
Jovani Morán,5.31,,,1.46,10.2,5.74,0.64,0.261,0.147,0.226,,,42.1,43,0,2,2
Bailey Falter,5.36,,,1.41,6.69,2.23,1.9,0.173,0.058,0.288,,,80.2,18,14,2,9
Peter Lambert,5.36,,,1.39,7.32,2.89,1.85,0.189,0.075,0.273,,,87.1,25,11,3,7
Ross Stripling,5.36,,,1.35,7.08,1.62,2.02,0.184,0.042,0.287,,,89.0,22,11,0,5
Ken Waldichuk,5.36,,,1.56,8.43,4.53,1.53,0.207,0.111,0.271,,,141.0,35,22,4,9
Ben Lively,5.38,,,1.36,8.02,2.54,2.03,0.206,0.065,0.27,,,88.2,19,12,4,7
Yonny Chirinos,5.4,,,1.39,5.61,2.86,1.59,0.144,0.074,0.275,,,85.0,20,9,5,5
Brenan Hanifee,5.4,,,1.6,5.4,0.0,1.8,0.13,0.0,0.348,,,5.0,3,0,0,0
